lat,lon,k2,k3,k4,k5,k6
37.7849860000297,-122.412382,0,0,0,2,2
37.7735372900297,-122.43224524,0,0,3,1,1
37.7867396800297,-122.43790723,0,0,3,1,1
37.7775150000297,-122.399825,0,0,0,2,2
37.7193693100296,-122.4102549,1,2,1,0,5
37.7101596200296,-122.45099433,1,1,2,3,3
37.8001750000297,-122.411882,0,0,0,2,2
37.7818630000297,-122.407703,0,0,0,2,2
37.7329247100296,-122.3937417,1,2,1,0,5
37.8016331000297,-122.43886487,0,0,3,2,1
37.7947123400297,-122.41898268,0,0,0,2,2
37.7909190000297,-122.432563,0,0,3,1,1
37.7929170000297,-122.414325,0,0,0,2,2
37.7793580000297,-122.406807,0,0,0,2,2
37.7638860000297,-122.419646,0,0,3,1,0
37.7347810000296,-122.455466,1,1,2,3,3
37.7740629100297,-122.4398245,0,0,3,1,1
37.7436956600296,-122.42004039,1,2,1,0,0
37.738819864778,-122.389328932947,1,2,1,0,5
37.7976193700297,-122.42863294,0,0,0,2,1
37.7843420000297,-122.41168,0,0,0,2,2
37.7895090000297,-122.414431,0,0,0,2,2
37.7854040000297,-122.409098,0,0,0,2,2
37.7884760000297,-122.415292,0,0,0,2,2
37.7922620000297,-122.403486,0,0,0,2,2
37.7340070200296,-122.3802041,1,2,1,0,5
37.7729530000297,-122.438287,0,0,3,1,1
37.7835600000297,-122.413863,0,0,0,2,2
37.7907443100297,-122.44668158,0,0,3,1,1
37.7657765900296,-122.44714599,1,1,3,1,1
37.7840290000297,-122.409608,0,0,0,2,2
37.7865410000297,-122.407549,0,0,0,2,2
37.7082050000296,-122.443761,1,2,1,3,3
37.7850910000297,-122.412742,0,0,0,2,2
37.7624717400296,-122.43320351,0,0,3,1,0
37.7357220000296,-122.401886,1,2,1,0,5
37.7751826700297,-122.44267094,0,0,3,1,1
37.7531255100296,-122.41491671,1,2,1,0,0
37.7446297700296,-122.41937776,1,2,1,0,0
37.7935680000297,-122.433552,0,0,3,1,1
37.7997706000297,-122.44222474,0,0,3,1,1
37.7631549500297,-122.42662911,0,0,3,1,0
37.7609830900296,-122.42255568,0,0,3,1,0
37.7847260000297,-122.413339,0,0,0,2,2
37.7264858900296,-122.42250962,1,2,1,0,5
37.7904746200297,-122.41156733,0,0,0,2,2
37.7555494000297,-122.41468351,1,2,1,0,0
37.7867210000297,-122.413721,0,0,0,2,2
37.7583420000296,-122.435964,1,2,3,1,0
37.7772505800297,-122.42553759,0,0,3,1,1
37.7753862200297,-122.45880236,0,1,3,1,1
37.7852080000297,-122.426549,0,0,3,2,1
37.7864430300297,-122.4093033,0,0,0,2,2
37.7216579400296,-122.43025404,1,2,1,3,3
37.7916801900297,-122.42160934,0,0,0,2,2
37.8020063000297,-122.444173,0,0,3,1,1
37.7209740000296,-122.483105,1,1,2,3,3
37.7820790000297,-122.404764,0,0,0,2,2
37.8009440000297,-122.405699,0,0,0,2,2
37.8045154100297,-122.44345648,0,0,3,1,1
37.7850240000297,-122.418487,0,0,0,2,2
37.7954730000297,-122.408982,0,0,0,2,2
37.8028120000297,-122.421135,0,0,0,2,2
37.7836000000296,-122.414675,0,0,0,2,2
37.7290730000296,-122.380515,1,2,1,0,5
37.7159850000296,-122.478355,1,1,2,3,3
37.7768960000297,-122.411739,0,0,0,2,2
37.7922366800297,-122.41715494,0,0,0,2,2
37.7853540000297,-122.41587,0,0,0,2,2
37.7357220000296,-122.401886,1,2,1,0,5
37.7949640000297,-122.393986,0,0,0,2,2
37.7833310000297,-122.409592,0,0,0,2,2
37.7301470000296,-122.375817,1,2,1,0,5
37.7845280000297,-122.414906,0,0,0,2,2
37.7767620000297,-122.45846,0,1,3,1,1
37.7987860000297,-122.396603,0,0,0,2,2
37.7183372300296,-122.46921715,1,1,2,3,3
37.7266786500296,-122.42932305,1,2,1,3,3
37.7840930000297,-122.418297,0,0,0,2,2
37.7540153200296,-122.41777483,1,2,1,0,0
37.7132790000296,-122.453696,1,1,2,3,3
37.7635474700297,-122.42830189,0,0,3,1,0
37.7874530000297,-122.415547,0,0,0,2,2
37.7615492600297,-122.41897623,0,0,3,1,0
37.7593353300296,-122.42079155,0,2,3,1,0
37.7950530000297,-122.435911,0,0,3,1,1
37.7637620000297,-122.397004,0,2,0,0,0
37.7846300000297,-122.47011,0,1,3,4,4
37.7854680000297,-122.403808,0,0,0,2,2
37.7765120000297,-122.441417,0,0,3,1,1
37.7457440000296,-122.450906,1,1,2,3,3
37.7152030000296,-122.467919,1,1,2,3,3
37.7810504500297,-122.44054371,0,0,3,1,1
37.7314880000296,-122.392678,1,2,1,0,5
37.7460280900296,-122.43730665,1,2,1,1,0
37.7893210000296,-122.408276,0,0,0,2,2
37.7223445200296,-122.46601286,1,1,2,3,3
37.7577590000297,-122.417962,0,2,1,0,0
37.7836880000297,-122.398933,0,0,0,2,2
37.7744240000297,-122.493018,1,1,2,4,4
37.7442975913012,-122.488602344536,1,1,2,4,4
37.7712380000296,-122.413121,0,0,0,2,0
37.7503104300297,-122.45241701,1,1,2,1,3
